pollster,numeric_grade,pollscore,methodology,transparency_score,start_date,end_date,candidate_name,pct
SurveyMonkey,3,-0,Telephone,7,01/01/2024,11/04/2024,Kamala Harris,8.2
SurveyMonkey,1.3,-0.8,Mixed-mode,1,01/08/2024,11/11/2024,Elizabeth Warren,29.5
Ipsos,1.6,-0.8,Online Panel,2,01/15/2024,11/18/2024,Elizabeth Warren,31.6
Gallup,1.6,1.5,In-person,2,01/22/2024,11/25/2024,Elizabeth Warren,78.1
Gallup,1.9,1.7,Mixed-mode,0,01/29/2024,12/02/2024,Elizabeth Warren,43
Pew Research,2.6,0.2,In-person,4,02/05/2024,12/09/2024,Bernie Sanders,32.4
Gallup,1.2,4.3,Mixed-mode,3,02/12/2024,12/16/2024,Elizabeth Warren,34.3
Ipsos,2.9,4.4,Online Panel,5,02/19/2024,12/23/2024,Gavin Newsom,55.5
YouGov,1.3,3.5,Telephone,9,02/26/2024,12/30/2024,Pete Buttigieg,21.1
Gallup,2.1,1.2,Mixed-mode,6,03/04/2024,01/06/2025,Pete Buttigieg,49.3
SurveyMonkey,2.8,3.2,In-person,5,03/11/2024,01/13/2025,Gavin Newsom,87.8
SurveyMonkey,2,3.6,Mixed-mode,3,03/18/2024,01/20/2025,Elizabeth Warren,20.1
Pew Research,2.6,-0.9,In-person,6,03/25/2024,01/27/2025,Elizabeth Warren,51
Ipsos,1.6,4,Telephone,6,04/01/2024,02/03/2025,Pete Buttigieg,61.2
YouGov,2,-2,Telephone,9,04/08/2024,02/10/2025,Kamala Harris,91.3
YouGov,2.3,3.4,In-person,4,04/15/2024,02/17/2025,Elizabeth Warren,37.1
SurveyMonkey,1,3.7,Online Panel,7,04/22/2024,02/24/2025,Kamala Harris,74.7
Pew Research,2.1,4.4,In-person,4,04/29/2024,03/03/2025,Gavin Newsom,52.7
YouGov,1.7,0.9,Telephone,8,05/06/2024,03/10/2025,Elizabeth Warren,98.6
Pew Research,1.8,0.7,Telephone,6,05/13/2024,03/17/2025,Elizabeth Warren,81
Ipsos,2,4.2,Telephone,3,05/20/2024,03/24/2025,Donald Trump,68.3
Gallup,2.1,3.3,Online Panel,1,05/27/2024,03/31/2025,Bernie Sanders,51.3
Pew Research,2.3,0.5,Mixed-mode,4,06/03/2024,04/07/2025,Donald Trump,38
Gallup,1.6,3.6,In-person,3,06/10/2024,04/14/2025,Pete Buttigieg,19.6
YouGov,1.9,2.5,Online Panel,1,06/17/2024,04/21/2025,Gavin Newsom,34.1
YouGov,2.4,0.8,In-person,4,06/24/2024,04/28/2025,Elizabeth Warren,53.4
Gallup,2.7,2.8,Telephone,8,07/01/2024,05/05/2025,Donald Trump,91.2
SurveyMonkey,1.8,3.5,In-person,5,07/08/2024,05/12/2025,Donald Trump,6.9
Gallup,2.1,1.6,Mixed-mode,6,07/15/2024,05/19/2025,Bernie Sanders,90.5
SurveyMonkey,2.1,-1.3,Telephone,5,07/22/2024,05/26/2025,Kamala Harris,20.6
SurveyMonkey,1.4,0.8,Telephone,1,07/29/2024,06/02/2025,Donald Trump,51.5
Ipsos,3,-0.8,Mixed-mode,8,08/05/2024,06/09/2025,Pete Buttigieg,31.3
SurveyMonkey,2.6,2.3,In-person,1,08/12/2024,06/16/2025,Bernie Sanders,20.3
SurveyMonkey,1.2,4,Mixed-mode,3,08/19/2024,06/23/2025,Kamala Harris,79.4
YouGov,1.2,2.3,Mixed-mode,8,08/26/2024,06/30/2025,Donald Trump,27.8
Pew Research,2.6,2.5,Online Panel,9,09/02/2024,07/07/2025,Elizabeth Warren,99.1
SurveyMonkey,2.8,4,In-person,7,09/09/2024,07/14/2025,Bernie Sanders,93.8
SurveyMonkey,2.5,4.4,In-person,2,09/16/2024,07/21/2025,Donald Trump,44.2
YouGov,2,-0.3,Telephone,4,09/23/2024,07/28/2025,Donald Trump,58
Ipsos,2.2,4.3,Telephone,9,09/30/2024,08/04/2025,Gavin Newsom,90.2
Pew Research,1.1,-0.3,Mixed-mode,2,10/07/2024,08/11/2025,Kamala Harris,5
SurveyMonkey,1.3,0.1,Telephone,9,10/14/2024,08/18/2025,Pete Buttigieg,90.7
YouGov,1.5,-0.2,In-person,8,10/21/2024,08/25/2025,Pete Buttigieg,24.6
Gallup,1.5,2.1,Mixed-mode,3,10/28/2024,09/01/2025,Donald Trump,32
Pew Research,3,2.4,Online Panel,0,11/04/2024,09/08/2025,Gavin Newsom,23
SurveyMonkey,2.9,1.8,Mixed-mode,6,11/11/2024,09/15/2025,Donald Trump,70.1
YouGov,3,2.6,Online Panel,5,11/18/2024,09/22/2025,Donald Trump,75.1
Ipsos,1.7,-1.9,Mixed-mode,0,11/25/2024,09/29/2025,Kamala Harris,51.5
Pew Research,2.1,-0.1,In-person,7,12/02/2024,10/06/2025,Pete Buttigieg,99.9
YouGov,1.3,3.1,In-person,6,12/09/2024,10/13/2025,Pete Buttigieg,8.2
SurveyMonkey,2.2,3.2,In-person,2,12/16/2024,10/20/2025,Kamala Harris,47.6
Gallup,1.6,1.2,Online Panel,1,12/23/2024,10/27/2025,Elizabeth Warren,83.4
YouGov,2,0.2,Mixed-mode,2,12/30/2024,11/03/2025,Gavin Newsom,94.5
Ipsos,1.7,2.8,Online Panel,7,01/06/2025,11/10/2025,Bernie Sanders,9.2
Gallup,2.2,2.9,Telephone,7,01/13/2025,11/17/2025,Gavin Newsom,88.4
Pew Research,2.4,4.4,Telephone,4,01/20/2025,11/24/2025,Donald Trump,33.3
YouGov,1.1,-0.3,Telephone,3,01/27/2025,12/01/2025,Kamala Harris,28.7
SurveyMonkey,2.3,0.5,In-person,4,02/03/2025,12/08/2025,Elizabeth Warren,55.3
Pew Research,1.4,3.5,Mixed-mode,6,02/10/2025,12/15/2025,Pete Buttigieg,50.4
Ipsos,1.2,1.1,Telephone,8,02/17/2025,12/22/2025,Elizabeth Warren,81.1
Gallup,2.1,4.8,Mixed-mode,3,02/24/2025,12/29/2025,Elizabeth Warren,33
YouGov,2.3,-0.1,In-person,5,03/03/2025,01/05/2026,Kamala Harris,69.9
Gallup,2.3,4.5,Online Panel,2,03/10/2025,01/12/2026,Gavin Newsom,97.5
SurveyMonkey,2.8,1.7,Mixed-mode,8,03/17/2025,01/19/2026,Pete Buttigieg,3.7
Gallup,2,4,Telephone,0,03/24/2025,01/26/2026,Bernie Sanders,84.2
Gallup,1.9,-0.1,Online Panel,2,03/31/2025,02/02/2026,Pete Buttigieg,19.2
Gallup,2.9,4,Online Panel,6,04/07/2025,02/09/2026,Kamala Harris,3.1
Gallup,1.5,3.8,In-person,6,04/14/2025,02/16/2026,Bernie Sanders,43.4
YouGov,2.8,4,Mixed-mode,5,04/21/2025,02/23/2026,Donald Trump,33.8
YouGov,2.2,1.5,Online Panel,6,04/28/2025,03/02/2026,Kamala Harris,24.4
Ipsos,1.3,4.3,In-person,0,05/05/2025,03/09/2026,Donald Trump,47.5
Ipsos,1.7,2.9,Online Panel,5,05/12/2025,03/16/2026,Kamala Harris,24.9
Ipsos,1.6,0.1,In-person,3,05/19/2025,03/23/2026,Gavin Newsom,35.9
YouGov,1.9,0.3,Telephone,8,05/26/2025,03/30/2026,Bernie Sanders,82.5
YouGov,2.2,1.8,Online Panel,1,06/02/2025,04/06/2026,Kamala Harris,27.6
Ipsos,2.8,4.2,Mixed-mode,1,06/09/2025,04/13/2026,Elizabeth Warren,98.8
Pew Research,1.9,-0.7,Mixed-mode,2,06/16/2025,04/20/2026,Pete Buttigieg,69.3
Gallup,2.7,1.4,Mixed-mode,2,06/23/2025,04/27/2026,Donald Trump,72.6
Gallup,1.1,2.1,Online Panel,8,06/30/2025,05/04/2026,Elizabeth Warren,13.8
YouGov,2.5,-0.3,Telephone,6,07/07/2025,05/11/2026,Pete Buttigieg,64.8
Gallup,2.5,2.9,Mixed-mode,9,07/14/2025,05/18/2026,Pete Buttigieg,49.6
SurveyMonkey,1.9,-1,Online Panel,3,07/21/2025,05/25/2026,Kamala Harris,36.9
SurveyMonkey,2.1,1.4,Mixed-mode,5,07/28/2025,06/01/2026,Kamala Harris,23.7
YouGov,1.6,-1.8,In-person,0,08/04/2025,06/08/2026,Donald Trump,66.5
Pew Research,1.6,-0.9,Telephone,1,08/11/2025,06/15/2026,Elizabeth Warren,79.5
Pew Research,1.2,3.2,Online Panel,3,08/18/2025,06/22/2026,Elizabeth Warren,45.3
SurveyMonkey,2.1,1.2,Online Panel,7,08/25/2025,06/29/2026,Kamala Harris,45.3
YouGov,2.8,4.5,Mixed-mode,5,09/01/2025,07/06/2026,Bernie Sanders,80.3
Pew Research,2.4,-0.5,Mixed-mode,8,09/08/2025,07/13/2026,Pete Buttigieg,21.7
YouGov,2.2,0.6,Online Panel,0,09/15/2025,07/20/2026,Donald Trump,85.1
YouGov,2.2,-1.1,Mixed-mode,4,09/22/2025,07/27/2026,Pete Buttigieg,98.6
Ipsos,1.1,2.5,Telephone,8,09/29/2025,08/03/2026,Gavin Newsom,66.6
Gallup,1.8,-1.5,Mixed-mode,0,10/06/2025,08/10/2026,Gavin Newsom,38.5
Gallup,2.7,0.4,In-person,1,10/13/2025,08/17/2026,Pete Buttigieg,23.6
Pew Research,3,-1,Telephone,6,10/20/2025,08/24/2026,Gavin Newsom,15.7
YouGov,1.3,4.8,In-person,6,10/27/2025,08/31/2026,Kamala Harris,78.6
Ipsos,2.7,0.4,Mixed-mode,7,11/03/2025,09/07/2026,Pete Buttigieg,83.7
YouGov,2.4,4.2,Mixed-mode,1,11/10/2025,09/14/2026,Elizabeth Warren,99.3
Ipsos,2.7,1.3,In-person,9,11/17/2025,09/21/2026,Gavin Newsom,29.3
Pew Research,2.9,-1.2,In-person,7,11/24/2025,09/28/2026,Bernie Sanders,4.6
SurveyMonkey,2.3,-0.8,In-person,4,12/01/2025,10/05/2026,Pete Buttigieg,98.6
Pew Research,1.4,1.2,Online Panel,1,12/08/2025,10/12/2026,Pete Buttigieg,82.6
Ipsos,2.9,2.8,In-person,8,12/15/2025,10/19/2026,Pete Buttigieg,74.4
Ipsos,2.9,3.6,Telephone,2,12/22/2025,10/26/2026,Pete Buttigieg,3
Pew Research,1.4,0.7,Telephone,9,12/29/2025,11/02/2026,Gavin Newsom,78.7
Pew Research,2.5,-1.4,Online Panel,6,01/05/2026,11/09/2026,Donald Trump,78.1
SurveyMonkey,2.3,4.4,Online Panel,8,01/12/2026,11/16/2026,Elizabeth Warren,98.6
YouGov,1.2,0.3,Telephone,8,01/19/2026,11/23/2026,Bernie Sanders,41.8
YouGov,1.4,4.2,In-person,1,01/26/2026,11/30/2026,Elizabeth Warren,28.2
Pew Research,1.5,1.6,Telephone,4,02/02/2026,12/07/2026,Kamala Harris,14.2
YouGov,1.5,4.9,Mixed-mode,5,02/09/2026,12/14/2026,Elizabeth Warren,55.2
Pew Research,1.6,2.9,Mixed-mode,1,02/16/2026,12/21/2026,Donald Trump,58.8
Ipsos,1.4,0.2,Online Panel,8,02/23/2026,12/28/2026,Donald Trump,33.6
SurveyMonkey,2.3,2.5,Mixed-mode,0,03/02/2026,01/04/2027,Donald Trump,58.1
Pew Research,1.3,-1.1,Online Panel,9,03/09/2026,01/11/2027,Pete Buttigieg,57.9
SurveyMonkey,1.2,2.3,Mixed-mode,1,03/16/2026,01/18/2027,Bernie Sanders,66.6
Pew Research,1.3,2.6,Online Panel,1,03/23/2026,01/25/2027,Bernie Sanders,92
Gallup,1.9,3.5,In-person,3,03/30/2026,02/01/2027,Donald Trump,51.7
Gallup,1.5,2.4,Telephone,9,04/06/2026,02/08/2027,Gavin Newsom,57
Ipsos,2.3,2.9,Mixed-mode,7,04/13/2026,02/15/2027,Kamala Harris,72.6
Ipsos,2.1,0.9,In-person,2,04/20/2026,02/22/2027,Pete Buttigieg,92.4
Pew Research,1.5,1.7,Telephone,0,04/27/2026,03/01/2027,Bernie Sanders,53.2
Ipsos,1.9,3.8,Telephone,9,05/04/2026,03/08/2027,Bernie Sanders,77.5
Pew Research,1.7,4.8,In-person,1,05/11/2026,03/15/2027,Donald Trump,97.4
SurveyMonkey,1.8,0.5,In-person,0,05/18/2026,03/22/2027,Bernie Sanders,81.9
SurveyMonkey,1.3,-1.1,In-person,9,05/25/2026,03/29/2027,Gavin Newsom,43.6
YouGov,2.4,0.1,Online Panel,4,06/01/2026,04/05/2027,Elizabeth Warren,75.8
Ipsos,2,2.6,Telephone,8,06/08/2026,04/12/2027,Pete Buttigieg,56.4
Pew Research,1,-1.5,In-person,3,06/15/2026,04/19/2027,Gavin Newsom,88.8
Ipsos,2.8,-0.1,Online Panel,6,06/22/2026,04/26/2027,Kamala Harris,43.8
SurveyMonkey,2.5,2,Telephone,7,06/29/2026,05/03/2027,Pete Buttigieg,58
Gallup,2.7,5,Telephone,9,07/06/2026,05/10/2027,Kamala Harris,37.1
YouGov,1.6,2.1,Mixed-mode,6,07/13/2026,05/17/2027,Kamala Harris,5.7
SurveyMonkey,1.2,0.4,Online Panel,3,07/20/2026,05/24/2027,Donald Trump,98.5
SurveyMonkey,3,3.5,Mixed-mode,3,07/27/2026,05/31/2027,Kamala Harris,81.1
YouGov,1.3,3.2,Online Panel,5,08/03/2026,06/07/2027,Elizabeth Warren,60.9
Ipsos,2.3,2,Telephone,6,08/10/2026,06/14/2027,Gavin Newsom,3.4
Pew Research,1.3,0.9,In-person,4,08/17/2026,06/21/2027,Elizabeth Warren,37.8
Pew Research,1.9,2.5,Online Panel,9,08/24/2026,06/28/2027,Donald Trump,38.5
Ipsos,1.8,2.7,Mixed-mode,0,08/31/2026,07/05/2027,Donald Trump,3.6
Gallup,2.4,2,Telephone,5,09/07/2026,07/12/2027,Kamala Harris,17.7
Ipsos,1.1,4.8,Telephone,8,09/14/2026,07/19/2027,Kamala Harris,66.1
Pew Research,2.6,3.1,Telephone,3,09/21/2026,07/26/2027,Bernie Sanders,38.3
SurveyMonkey,1.3,1.4,Telephone,6,09/28/2026,08/02/2027,Pete Buttigieg,64.4
Ipsos,1.8,0.3,In-person,3,10/05/2026,08/09/2027,Elizabeth Warren,73.9
YouGov,2.5,4.2,Telephone,7,10/12/2026,08/16/2027,Kamala Harris,2.4
Ipsos,3,4.6,Mixed-mode,8,10/19/2026,08/23/2027,Gavin Newsom,99.2
Pew Research,3,-1.6,Online Panel,2,10/26/2026,08/30/2027,Bernie Sanders,72
YouGov,2.4,3.8,Online Panel,4,11/02/2026,09/06/2027,Donald Trump,51.5
YouGov,2.3,4.5,In-person,2,11/09/2026,09/13/2027,Kamala Harris,67.7
Ipsos,2.6,1.9,Mixed-mode,1,11/16/2026,09/20/2027,Elizabeth Warren,47.5
YouGov,2.2,-0.9,Mixed-mode,7,11/23/2026,09/27/2027,Gavin Newsom,62.6
Gallup,1.7,1.7,Telephone,6,11/30/2026,10/04/2027,Pete Buttigieg,47.8
Ipsos,1.5,3.1,Telephone,6,12/07/2026,10/11/2027,Bernie Sanders,79
Pew Research,2.5,-1.3,Mixed-mode,4,12/14/2026,10/18/2027,Gavin Newsom,54.1
YouGov,3,3,In-person,7,12/21/2026,10/25/2027,Gavin Newsom,57.7
Gallup,1,-1,Telephone,3,12/28/2026,11/01/2027,Pete Buttigieg,0.4
SurveyMonkey,1.1,4.2,Telephone,4,01/04/2027,11/08/2027,Bernie Sanders,32.5
Ipsos,2.3,2.2,In-person,6,01/11/2027,11/15/2027,Bernie Sanders,21.7
SurveyMonkey,2.8,4,Online Panel,1,01/18/2027,11/22/2027,Kamala Harris,51.1
Gallup,1.9,1.9,Online Panel,6,01/25/2027,11/29/2027,Bernie Sanders,82.3
Gallup,2.4,3,Mixed-mode,9,02/01/2027,12/06/2027,Donald Trump,22.5
Pew Research,2.2,2.2,In-person,4,02/08/2027,12/13/2027,Kamala Harris,80.4
YouGov,1.2,1.5,Telephone,6,02/15/2027,12/20/2027,Kamala Harris,95.3
Ipsos,2.1,1.2,Telephone,5,02/22/2027,12/27/2027,Gavin Newsom,49.6
Gallup,1.2,4.6,Telephone,1,03/01/2027,01/03/2028,Elizabeth Warren,82.6
YouGov,3,-1.9,Online Panel,1,03/08/2027,01/10/2028,Bernie Sanders,91.1
Pew Research,3,3.7,Mixed-mode,6,03/15/2027,01/17/2028,Pete Buttigieg,36.4
Ipsos,1.3,0.5,In-person,5,03/22/2027,01/24/2028,Kamala Harris,96.1
YouGov,1.8,4.9,Telephone,4,03/29/2027,01/31/2028,Bernie Sanders,7.4
Ipsos,1.8,2.2,Telephone,1,04/05/2027,02/07/2028,Bernie Sanders,34.2
Ipsos,1.6,1.8,Online Panel,7,04/12/2027,02/14/2028,Bernie Sanders,56.5
Pew Research,2.9,2.8,Telephone,4,04/19/2027,02/21/2028,Kamala Harris,16.6
Pew Research,1.2,0.4,Mixed-mode,3,04/26/2027,02/28/2028,Elizabeth Warren,19.3
Gallup,1.5,-0.9,Online Panel,6,05/03/2027,03/06/2028,Elizabeth Warren,26.2
SurveyMonkey,1.9,-1.5,Online Panel,8,05/10/2027,03/13/2028,Bernie Sanders,40.3
YouGov,2.6,1.5,In-person,2,05/17/2027,03/20/2028,Bernie Sanders,45.7
YouGov,1.7,1.5,In-person,6,05/24/2027,03/27/2028,Kamala Harris,34.1
YouGov,2.8,-1.7,In-person,9,05/31/2027,04/03/2028,Elizabeth Warren,55.4
Pew Research,1.2,3.9,Online Panel,6,06/07/2027,04/10/2028,Pete Buttigieg,20.6
Gallup,2.9,0.2,Online Panel,2,06/14/2027,04/17/2028,Donald Trump,77
Ipsos,1.9,2.9,In-person,4,06/21/2027,04/24/2028,Kamala Harris,3.4
Gallup,2,-0.5,In-person,9,06/28/2027,05/01/2028,Bernie Sanders,72.7
Gallup,1.1,4.4,Mixed-mode,1,07/05/2027,05/08/2028,Bernie Sanders,18.2
SurveyMonkey,2.9,3.5,In-person,4,07/12/2027,05/15/2028,Pete Buttigieg,29.9
Ipsos,2.6,-0.4,Online Panel,1,07/19/2027,05/22/2028,Elizabeth Warren,35.2
SurveyMonkey,1.8,0.5,Mixed-mode,9,07/26/2027,05/29/2028,Pete Buttigieg,14.8
Ipsos,2.1,4.5,Telephone,2,08/02/2027,06/05/2028,Elizabeth Warren,56.8
SurveyMonkey,2.6,1.2,In-person,5,08/09/2027,06/12/2028,Elizabeth Warren,92.8
Pew Research,2.8,-0.3,Mixed-mode,1,08/16/2027,06/19/2028,Kamala Harris,2.2
YouGov,2.7,2.7,Mixed-mode,5,08/23/2027,06/26/2028,Kamala Harris,99.9
Pew Research,2.5,-1.8,In-person,4,08/30/2027,07/03/2028,Pete Buttigieg,32.8
Gallup,2.5,-1.8,Online Panel,8,09/06/2027,07/10/2028,Kamala Harris,60
Ipsos,1.7,1.2,Mixed-mode,1,09/13/2027,07/17/2028,Gavin Newsom,90.6
Gallup,1.4,1.9,Telephone,7,09/20/2027,07/24/2028,Pete Buttigieg,51.8
Gallup,1.5,-0.2,In-person,8,09/27/2027,07/31/2028,Gavin Newsom,76.2
YouGov,1.6,1.4,Telephone,6,10/04/2027,08/07/2028,Kamala Harris,41.7
Pew Research,1.3,3.4,Online Panel,9,10/11/2027,08/14/2028,Bernie Sanders,5.3
Gallup,1.1,4.4,In-person,4,10/18/2027,08/21/2028,Kamala Harris,36.5
Gallup,1.2,3.8,Online Panel,5,10/25/2027,08/28/2028,Gavin Newsom,90.5
SurveyMonkey,1.3,-1.8,Online Panel,7,11/01/2027,09/04/2028,Donald Trump,31
SurveyMonkey,3,0.2,Online Panel,3,11/08/2027,09/11/2028,Kamala Harris,15.6
SurveyMonkey,2.5,1.4,Online Panel,1,11/15/2027,09/18/2028,Elizabeth Warren,69.5
Ipsos,2.2,-0.5,Mixed-mode,8,11/22/2027,09/25/2028,Donald Trump,3.1
Pew Research,1.3,2.3,In-person,9,11/29/2027,10/02/2028,Bernie Sanders,22.8
SurveyMonkey,1.7,-1.7,In-person,0,12/06/2027,10/09/2028,Donald Trump,95.6
Gallup,2.3,3.8,Telephone,1,12/13/2027,10/16/2028,Donald Trump,56.2
Gallup,1.5,4,In-person,3,12/20/2027,10/23/2028,Bernie Sanders,83.9
SurveyMonkey,1.1,4.8,Mixed-mode,4,12/27/2027,10/30/2028,Pete Buttigieg,59.9
Ipsos,2.1,1,Telephone,2,01/03/2028,11/06/2028,Donald Trump,15.4
Gallup,1.2,1.6,Telephone,8,01/10/2028,11/13/2028,Pete Buttigieg,38.9
Gallup,2,2.4,Online Panel,4,01/17/2028,11/20/2028,Elizabeth Warren,25.3
Pew Research,1.3,3.8,Mixed-mode,6,01/24/2028,11/27/2028,Donald Trump,21.2
SurveyMonkey,1.7,4.3,Mixed-mode,5,01/31/2028,12/04/2028,Donald Trump,67.2
Ipsos,2.2,0.3,Online Panel,4,02/07/2028,12/11/2028,Elizabeth Warren,22.8
