pollster,sponsors,display_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,office_type,stage,party,candidate_name,pct,sample_size,num_trump
Marist,NPR | PBS NewsHour,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,7,National,5/21/24,2024-05-23,U.S. President,primary,REP,Donald Trump,85,464,394
YouGov Blue,The Liberal Patriot | Blueprint,YouGov Blue,3,-1.1,Online Panel,9,National,3/29/24,2024-04-05,U.S. President,primary,REP,Donald Trump,72,1498,1079
Ipsos,Reuters,Ipsos,2.8,-0.9,Probability Panel,9.5,National,3/7/24,2024-03-13,U.S. President,primary,REP,Donald Trump,62,1748,1084
Suffolk,USA Today,Suffolk University,2.9,-1,Live Phone,8,National,3/8/24,2024-03-11,U.S. President,primary,REP,Donald Trump,80.7,342,276
Emerson,WCMH-TV Columbus | The Hill | Nexstar | Fox 8 (WJW) | WKBN-TV | WDTN,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,Ohio,3/7/24,2024-03-10,U.S. President,primary,REP,Donald Trump,82.9,443,367
Emerson,NA,Emerson College,2.9,-1.1,IVR/Online Panel/Email,7,National,3/5/24,2024-03-06,U.S. President,primary,REP,Donald Trump,80.5,578,465
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,3/3/24,2024-03-05,U.S. President,primary,REP,Donald Trump,74,638,472
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,3/3/24,2024-03-05,U.S. President,primary,REP,Donald Trump,76,601,457
Emerson,The Hill | Nexstar,Emerson College,2.9,-1.1,Online Panel/Email/Text-to-Web,7,Indiana,3/2/24,2024-03-05,U.S. President,primary,REP,Donald Trump,78.3,526,412
Siena/NYT,NA,The New York Times/Siena College,3,-1.5,Live Phone,9,National,2/25/24,2024-02-28,U.S. President,primary,REP,Donald Trump,77,292,225
Siena/NYT,NA,The New York Times/Siena College,3,-1.5,Live Phone,9,National,2/25/24,2024-02-28,U.S. President,primary,REP,Donald Trump,76,292,222
SurveyUSA,KSTP-TV Minneapolis | KAAL-TV | WDIO-TV Duluth,SurveyUSA,2.8,-1.3,Online Panel,8,Minnesota,2/23/24,2024-02-28,U.S. President,caucus,REP,Donald Trump,79,545,431
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,2/25/24,2024-02-27,U.S. President,primary,REP,Donald Trump,79,638,504
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,2/25/24,2024-02-27,U.S. President,primary,REP,Donald Trump,80,601,481
Emerson,The Hill | Inside California Politics,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,California,2/24/24,2024-02-27,U.S. President,primary,REP,Donald Trump,74.5,342,255
Emerson,The Hill | Nexstar,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,Michigan,2/20/24,2024-02-24,U.S. President,primary,REP,Donald Trump,75.7,486,368
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,2/18/24,2024-02-20,U.S. President,primary,REP,Donald Trump,78,612,477
Quinnipiac,NA,Quinnipiac University,2.8,-0.5,Live Phone,9,National,2/15/24,2024-02-19,U.S. President,primary,REP,Donald Trump,80,576,461
Emerson,The Hill | Inside California Politics,Emerson College,2.9,-1.1,IVR/Online Panel/Email,7,California,2/16/24,2024-02-18,U.S. President,primary,REP,Donald Trump,72,315,227
Suffolk,USA Today,Suffolk University,2.9,-1,Live Phone,8,South Carolina,2/15/24,2024-02-18,U.S. President,primary,REP,Donald Trump,63,500,315
Emerson,The Hill | Nexstar,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,South Carolina,2/14/24,2024-02-16,U.S. President,primary,REP,Donald Trump,60.6,728,441
Marquette Law School,NA,Marquette University Law School,3,-1.1,Probability Panel,10,National,2/5/24,2024-02-15,U.S. President,primary,REP,Donald Trump,73,358,261
Marquette Law School,NA,Marquette University Law School,3,-1.1,Probability Panel,10,National,2/5/24,2024-02-15,U.S. President,primary,REP,Donald Trump,74,309,229
Emerson,NA,Emerson College,2.9,-1.1,IVR/Online Panel/Email,7,National,2/13/24,2024-02-14,U.S. President,primary,REP,Donald Trump,76.8,524,402
Echelon Insights,NA,Echelon Insights,2.7,-0.8,Online Panel,9,National,2/12/24,2024-02-14,U.S. President,primary,REP,Donald Trump,79,437,345
Siena,NA,Siena College,2.7,-0.8,Live Phone/Online Panel,7,New York,2/12/24,2024-02-14,U.S. President,primary,REP,Donald Trump,64,177,113
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,2/11/24,2024-02-13,U.S. President,primary,REP,Donald Trump,80,609,487
YouGov,University of Texas,YouGov,3,-1.1,Online Panel,9,Texas,2/2/24,2024-02-12,U.S. President,primary,REP,Donald Trump,80,486,389
YouGov,CBS News,YouGov,3,-1.1,Online Panel,9,South Carolina,2/5/24,2024-02-10,U.S. President,primary,REP,Donald Trump,65,1004,653
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,2/4/24,2024-02-06,U.S. President,primary,REP,Donald Trump,80,611,489
Suffolk,NA,Suffolk University,2.9,-1,Live Phone,8,Massachusetts,2/2/24,2024-02-05,U.S. President,primary,REP,Donald Trump,55.4,287,159
Marquette Law School,NA,Marquette University Law School,3,-1.1,Live Phone/Email,10,Wisconsin,1/24/24,2024-01-31,U.S. President,primary,REP,Donald Trump,64,408,261
Marquette Law School,NA,Marquette University Law School,3,-1.1,Live Phone/Email,10,Wisconsin,1/24/24,2024-01-31,U.S. President,primary,REP,Donald Trump,67,372,249
CNN/SSRS,NA,CNN/SSRS,2.8,-0.6,Probability Panel,10,National,1/25/24,2024-01-30,U.S. President,primary,REP,Donald Trump,70,442,309
YouGov,NA,YouGov,3,-1.1,Online Panel,9,National,1/24/24,2024-01-30,U.S. President,primary,REP,Donald Trump,77,363,280
Emerson,NA,Emerson College,2.9,-1.1,IVR/Online Panel/Email,7,National,1/26/24,2024-01-29,U.S. President,primary,REP,Donald Trump,73.1,571,417
YouGov,Yahoo News,YouGov,3,-1.1,Online Panel,9,National,1/25/24,2024-01-29,U.S. President,primary,REP,Donald Trump,79,451,356
