poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct,num_trump
89198,290,MassINC Polling Group,NA,NA,MassINC Polling Group,198,MassINC Polling Group,2.8,-0.8,Online Panel/Text-to-Web,7,Massachusetts,10/29/24,2024-11-01,NA,NA,NA,NA,NA,NA,215530,582,lv,NA,lv,NA,11/1/24 15:50,NA,https://www.massincpolling.com/our-work/final-mpg-poll-of-massachusetts-voters-find-harris-warren-maintaining-commanding-leads,https://www.massincpolling.com/our-work/final-mpg-poll-of-massachusetts-voters-find-harris-warren-maintaining-commanding-leads,https://static1.squarespace.com/static/5eb9fa2f8ac4df11937f6a49/t/67252736a27be76d295404cd/1730488118174/Topline+2024+10+Nov+MA+Election.pdf,NA,NA,FALSE,NA,8811,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,TRUE,REP,Trump,16651,Donald Trump,31,180
89141,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,National,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215172,3490,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-national-2024-10-31,https://www.atlasintel.org/poll/usa-national-2024-10-31,NA,https://cdn.atlasintel.org/a6fb1a34-9f8c-496d-bc2b-f67e251661b8.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49.1,1714
89141,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,National,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215173,3490,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-national-2024-10-31,https://www.atlasintel.org/poll/usa-national-2024-10-31,NA,https://cdn.atlasintel.org/a6fb1a34-9f8c-496d-bc2b-f67e251661b8.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49.6,1731
89142,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,North Carolina,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215182,1373,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8839,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50.7,696
89142,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,North Carolina,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215183,1373,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8839,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50.7,696
89143,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215174,1005,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50.8,511
89143,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Arizona,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215175,1005,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,51,513
89144,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Georgia,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215176,1212,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48.8,591
89144,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Georgia,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215177,1212,lv,NA,lv,NA,10/31/24 15:45,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50.1,607
89145,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Michigan,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215178,1136,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8820,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49.2,559
89145,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Michigan,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215179,1136,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8820,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49.3,560
89146,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Nevada,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215180,845,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8857,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50.5,427
89146,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Nevada,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215181,845,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8857,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50.6,428
89147,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Pennsylvania,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215184,1738,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48.5,843
89147,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Pennsylvania,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215185,1738,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49.4,859
89148,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Wisconsin,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215186,673,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8905,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48.5,326
89148,1528,AtlasIntel,NA,NA,AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6,Wisconsin,10/30/24,2024-10-31,NA,NA,NA,NA,NA,NA,215187,673,lv,NA,lv,NA,10/31/24 15:46,NA,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,https://www.atlasintel.org/poll/usa-swing-states-2024-10-31,NA,https://cdn.atlasintel.org/89b089d5-71ee-462d-a710-1427664e80ed.pdf,NA,NA,NA,8905,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48.8,328
89162,1102,Emerson,2204,RealClearWorld,Emerson College,88,Emerson College,2.9,-1.1,Online Panel/Text-to-Web,7,Nevada,10/29/24,2024-10-31,NA,NA,NA,NA,NA,NA,215366,700,lv,NA,lv,NA,11/1/24 09:05,NA,https://emersoncollegepolling.com/october-2024-nevada-poll-harris-48-trump-47/,https://emersoncollegepolling.com/october-2024-nevada-poll-harris-48-trump-47/,NA,https://docs.google.com/spreadsheets/d/165a3jgGb3dnNEVKiMZg2ghrEcQqtp7XY/edit?gid=681822589#gid=681822589,NA,NA,NA,8857,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48.3,338
89169,460,SurveyUSA,715,KOB-TV (Albuquerque),SurveyUSA,325,SurveyUSA,2.8,-1.3,IVR/Online Panel,8,New Mexico,10/28/24,2024-10-31,NA,NA,NA,NA,NA,NA,215357,632,lv,NA,lv,NA,11/1/24 09:04,NA,https://www.surveyusa.com/client/PollReport.aspx?g=b13e1d14-aeb8-4fbf-9e61-8aeb4cc2b045,NA,NA,https://www.surveyusa.com/client/PollReport.aspx?g=b13e1d14-aeb8-4fbf-9e61-8aeb4cc2b045,NA,NA,NA,8854,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,44,278
89195,1302,Echelon Insights,NA,NA,Echelon Insights,407,Echelon Insights,2.7,-0.8,Online Panel,9,National,10/28/24,2024-10-31,NA,NA,NA,NA,NA,NA,215526,1328,lv,NA,lv,NA,11/1/24 15:49,NA,https://echeloninsights.com/in-the-news/oct-2024-verified-voter-omnibus/,https://echeloninsights.com/in-the-news/oct-2024-verified-voter-omnibus/,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2024-Voter-Omnibus-Topline-EXTERNAL.pdf,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2024-Voter-Omnibus-Crosstabs-EXTERNAL.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,TRUE,REP,Trump,16651,Donald Trump,47,624
89195,1302,Echelon Insights,NA,NA,Echelon Insights,407,Echelon Insights,2.7,-0.8,Online Panel,9,National,10/28/24,2024-10-31,NA,NA,NA,NA,NA,NA,215527,1328,lv,NA,lv,NA,11/1/24 15:49,NA,https://echeloninsights.com/in-the-news/oct-2024-verified-voter-omnibus/,https://echeloninsights.com/in-the-news/oct-2024-verified-voter-omnibus/,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2024-Voter-Omnibus-Topline-EXTERNAL.pdf,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2024-Voter-Omnibus-Crosstabs-EXTERNAL.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48,637
89199,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Arizona,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215534,880,rv,NA,rv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48,422
89199,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Arizona,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215541,856,lv,NA,lv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48,411
89199,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Arizona,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215548,880,rv,NA,rv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50,440
89199,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Arizona,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215555,856,lv,NA,lv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50,428
89200,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Georgia,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215535,984,rv,NA,rv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48,472
89200,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Georgia,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215542,939,lv,NA,lv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,48,451
89200,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Georgia,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215549,984,rv,NA,rv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50,492
89200,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Georgia,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215556,939,lv,NA,lv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8781,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,50,470
89201,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Michigan,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215536,985,rv,NA,rv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8820,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,45,443
89201,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Michigan,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215543,942,lv,NA,lv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8820,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,45,424
89201,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Michigan,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215550,985,rv,NA,rv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8820,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,46,453
89201,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Michigan,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215557,942,lv,NA,lv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8820,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,47,443
89202,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Nevada,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215537,790,rv,NA,rv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8857,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,47,371
89202,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Nevada,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215544,773,lv,NA,lv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8857,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,47,363
89202,568,YouGov,21672168,The Times of London | SAY24,YouGov,391,YouGov,3,-1.1,Online Panel,9,Nevada,10/25/24,2024-10-31,NA,NA,NA,NA,NA,NA,215551,790,rv,NA,rv,NA,11/1/24 16:15,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/Times_SAY24_20241101.pdf,NA,NA,NA,8857,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,49,387
